unique_id,population,number_of_miners,avg_probability,gold_stats,resource_stats,economic_opportunity,resources,trades
244,8,4,0.13150587485531423,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[20.44843423 21.03357732 15.94519309  3.94391339  6.00963433  8.81064551
  7.18821376  6.38077807]",10.739327680404493,7.866573958662043,0
245,3,0,0.09246362452278294,"[['gold']
 ['gold']
 ['gold']]",[15.75007603 16.11855311  8.98079036],13.57979939261918,8.12560826242078,0
246,4,0,0.1414249031865771,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[32.31304481 19.98406913  8.17031426 10.3738752 ],17.026885715530554,7.060513023468307,0
247,5,1,0.13454761158801593,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[24.97252855 19.53632475  9.96533685 21.98017454  5.82121484],14.936855367956673,9.688075608584665,0
248,5,4,0.24278624617731356,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[11.90482397  9.90355865  6.8470832  12.73041811  8.25407806],10.008597646236955,8.452634320949345,0
249,5,2,0.14361562984615664,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[21.73932253  8.55766778 16.72974583 12.29406059],15.567491617894223,7.309202800560642,0
250,9,7,0.28428222408087644,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[23.41995286 12.08665582  7.41872565  6.33306895  5.33524223  5.61466278
 11.90249297  4.2891056   6.54750779]",8.83537241402819,7.12980880325313,0
251,6,3,0.11064579987669945,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[18.9789291  21.6534691   9.48371128  7.20249361  9.29340773  6.38929261],11.985187288191868,10.550398189645895,0
252,23,18,0.3259728892983713,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[26.29914247 21.98488222  9.4962381   4.8399264   5.88635953  6.24955597
 28.44800735 10.59229879 11.04990108  7.60306956  5.41285579  6.31841635
  7.36915957  6.34364791  8.89986428  6.33048821  9.9260556  11.31096107
 16.83621588  7.71488228  6.33806365  6.57161896  9.06876423]",9.798825741984768,10.11314103289422,0
253,7,4,0.31685072643293444,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[12.45817044 12.00546489  9.97876306  3.          4.03329851 14.12567646
 13.66039764]",9.32507898845959,5.131655365514334,0
254,7,2,0.1476293984491692,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[28.50958701 20.32282461  6.88918348 14.33355437  6.16688816  5.3229662
  8.85299858]",12.182492735387843,7.127306316760174,0
255,2,0,0.044508066568508226,"[['gold']
 ['gold']]",[25.08391859 12.03163983],16.906134297330436,9.018828426267902,0
256,4,0,0.06555985094298589,"[['gold']
 ['gold']]",[11.51528656 11.57692925],12.20204800834309,8.222890991011997,0
257,12,3,0.16613492948950961,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[26.72095071 20.73710956 19.01403396  4.23486847  6.96759351 13.1284316
 11.33906287 12.68558061 13.38779932  8.46194288]",12.968774564481611,8.417641628186361,0
